ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,absFC,SignificantPval,SignificantLogFC,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSMUSG00000027342,5613.502052,1.520038768,0.051671039,29.41761554,3.27E-190,6.35E-186,1.520038768,TRUE,TRUE,2,132091082,132095234,-1,protein_coding,Pcna,proliferating cell nuclear antigen [Source:MGI Symbol;Acc:MGI:97503]
ENSMUSG00000040204,1668.416284,3.028582148,0.115871321,26.13746118,1.37E-150,1.33E-146,3.028582148,TRUE,TRUE,9,65797519,65810548,1,protein_coding,Pclaf,PCNA clamp associated factor [Source:MGI Symbol;Acc:MGI:1915276]
ENSMUSG00000005470,877.8073795,2.529937711,0.100381146,25.2033157,3.68E-140,2.39E-136,2.529937711,TRUE,TRUE,8,84682136,84696826,1,protein_coding,Asf1b,anti-silencing function 1B histone chaperone [Source:MGI Symbol;Acc:MGI:1914179]
ENSMUSG00000027326,757.4235005,2.457082725,0.097792548,25.12545968,2.62E-139,1.27E-135,2.457082725,TRUE,TRUE,2,118877600,118935982,1,protein_coding,Knl1,kinetochore scaffold 1 [Source:MGI Symbol;Acc:MGI:1923714]
ENSMUSG00000020649,2250.368071,2.668458098,0.108449118,24.60562293,1.10E-133,4.27E-130,2.668458098,TRUE,TRUE,12,24758240,24764145,1,protein_coding,Rrm2,ribonucleotide reductase M2 [Source:MGI Symbol;Acc:MGI:98181]
ENSMUSG00000041859,2063.88846,1.997860181,0.086114144,23.20013977,4.54E-119,1.47E-115,1.997860181,TRUE,TRUE,1,20873192,20890536,-1,protein_coding,Mcm3,minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845]
ENSMUSG00000025395,519.0600102,1.942224412,0.086464947,22.46256409,9.65E-112,2.68E-108,1.942224412,TRUE,TRUE,10,127851037,127865906,1,protein_coding,Prim1,"DNA primase, p49 subunit [Source:MGI Symbol;Acc:MGI:97757]"
ENSMUSG00000032555,2327.379104,1.824449684,0.081653433,22.34382102,1.39E-110,3.37E-107,1.824449684,TRUE,TRUE,9,103182414,103227627,1,protein_coding,Topbp1,topoisomerase (DNA) II binding protein 1 [Source:MGI Symbol;Acc:MGI:1920018]
ENSMUSG00000022945,451.7042111,2.288595044,0.104137228,21.97672322,4.81E-107,1.04E-103,2.288595044,TRUE,TRUE,16,93680789,93703003,1,protein_coding,Chaf1b,"chromatin assembly factor 1, subunit B (p60) [Source:MGI Symbol;Acc:MGI:1314881]"
ENSMUSG00000022673,1802.455092,1.725301987,0.079769698,21.62853851,9.68E-104,1.88E-100,1.725301987,TRUE,TRUE,16,15441761,15455264,-1,protein_coding,Mcm4,minichromosome maintenance complex component 4 [Source:MGI Symbol;Acc:MGI:103199]
